source,case_ids
/Users/alfred/Documents/baseline_model/artifacts/sequential_hybrid_mlp_feedback/selected_stop_live_confirmation_49case_v1/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/sequential_hybrid_mlp_feedback/selected_stop_live_confirmation_dryrun_smoke_v1/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent/single_agent_dryrun_test_1perclass_max22_unrestricted_v4_gpt41mini/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent/single_agent_dryrun_test_5perclass_max3/benchmark_cases.csv,245
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent/single_agent_live_test_1perclass_max222_10cases_unrestricted_v5_gpt41mini_10casepilot/benchmark_cases.csv,10
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent/single_agent_live_test_1perclass_max22_unrestricted_v4_gpt41mini/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent/single_agent_live_test_1perclass_max3_decoded_gated_v2/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent/single_agent_live_test_1perclass_max3_decoded_gated_v3_gpt54mini/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent/single_agent_live_test_5perclass_max3/benchmark_cases.csv,245
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent_cost_sensitive/single_agent_cost_sensitive_dryrun_test_1perclass_cap24_6lambdas_lambda_cost_v1/benchmark_cases.csv,10
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent_cost_sensitive/single_agent_cost_sensitive_live_test_1perclass_cap24_5lambdas_lambda_cost_24case_wide_sweep_v1/benchmark_cases.csv,24
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent_cost_sensitive/single_agent_cost_sensitive_live_test_1perclass_cap24_6lambdas_lambda_cost_v1/benchmark_cases.csv,10
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent_improved/single_agent_improved_dryrun_test_1perclass_4budgets_ledger_shortlist_budget_sweep_v1/benchmark_cases.csv,10
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent_improved/single_agent_improved_live_test_1perclass_4budgets_ledger_shortlist_budget_sweep_v1/benchmark_cases.csv,10
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent_refined/single_agent_refined_dryrun_test_1perclass_4budgets_anchor_guard_v1/benchmark_cases.csv,10
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent_refined/single_agent_refined_live_test_1perclass_4budgets_anchor_guard_budget_scaling_v1/benchmark_cases.csv,10
/Users/alfred/Documents/baseline_model/artifacts/sequential_single_agent_refined/single_agent_refined_live_test_1perclass_4budgets_anchor_guard_v1/benchmark_cases.csv,10
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/adaptive_value_branching_live_balanced2_v1/benchmark_cases.csv,98
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/hypothesis_forced_differential_branching_49case_v1/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/hypothesis_forced_differential_branching_dryrun_smoke_v1/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/live_targeted_branching_confirmation_49case_v1/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/live_targeted_branching_confirmation_dryrun_smoke_v1/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/mlp_gated_confounder_graph_bayes_branching_49case_v1/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/mlp_gated_confounder_graph_bayes_branching_dryrun_smoke_v1/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/notebook13_style_live_base_replicates_49case_v1/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/notebook13_style_live_base_replicates_49case_v1/replicate_r01/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/notebook13_style_live_base_replicates_49case_v1/replicate_r02/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/notebook13_style_live_base_replicates_49case_v1/replicate_r03/benchmark_cases.csv,49
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/notebook13_style_live_base_replicates_dryrun_smoke_v1/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/notebook13_style_live_base_replicates_dryrun_smoke_v1/replicate_r01/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/notebook13_style_live_base_replicates_dryrun_smoke_v1/replicate_r02/benchmark_cases.csv,2
/Users/alfred/Documents/baseline_model/artifacts/trajectory_replicates/notebook13_style_live_base_replicates_dryrun_smoke_v1/replicate_r03/benchmark_cases.csv,2
