disease_a,disease_b,root_evidence_id,pair_root_rank,pair_root_utility
Bronchiolitis,Sarcoidosis,E_135,10,0.06536538805579137
Bronchiolitis,Sarcoidosis,E_131,11,0.06366433843777075
Bronchiolitis,Sarcoidosis,E_134,12,0.06217433534282807
Acute COPD exacerbation / infection,Bronchitis,E_54,1,0.25665193091476074
Acute COPD exacerbation / infection,Bronchitis,E_55,2,0.21348755562774518
Acute COPD exacerbation / infection,Bronchitis,E_57,3,0.14858992033520688
Acute COPD exacerbation / infection,Bronchitis,E_53,4,0.12251626380412844
Acute COPD exacerbation / infection,Bronchitis,E_59,5,0.09809101604990617
Acute COPD exacerbation / infection,Bronchitis,E_56,6,0.09224268662129867
Acute COPD exacerbation / infection,Bronchitis,E_58,7,0.09040985061382215
Acute COPD exacerbation / infection,Bronchitis,E_91,8,0.025468332207561475
Acute COPD exacerbation / infection,Bronchitis,E_125,9,0.024861268269745572
Acute COPD exacerbation / infection,Bronchitis,E_181,10,0.021627545642482666
Acute COPD exacerbation / infection,Bronchitis,E_97,11,0.016358141264779146
Acute COPD exacerbation / infection,Bronchitis,E_31,12,0.01135535656133563
Pulmonary neoplasm,Stable angina,E_201,1,0.04575095116543515
Pulmonary neoplasm,Stable angina,E_45,2,0.03720426675478974
Pulmonary neoplasm,Stable angina,E_105,3,0.03381757314101366
Pulmonary neoplasm,Stable angina,E_218,4,0.030725582061273463
Pulmonary neoplasm,Stable angina,E_69,5,0.030163888087550963
Pulmonary neoplasm,Stable angina,E_70,6,0.029755888880433273
Pulmonary neoplasm,Stable angina,E_222,7,0.026066819064347838
Pulmonary neoplasm,Stable angina,E_78,8,0.024352776297172554
Pulmonary neoplasm,Stable angina,E_104,9,0.023951999316956706
Pulmonary neoplasm,Stable angina,E_162,10,0.02272655655455268
Pulmonary neoplasm,Stable angina,E_225,11,0.019144661722082953
Pulmonary neoplasm,Stable angina,E_71,12,0.017045299414224738
Acute dystonic reactions,Bronchiolitis,E_55,1,0.1886496413982529
Acute dystonic reactions,Bronchiolitis,E_181,2,0.07553332534483181
Acute dystonic reactions,Bronchiolitis,E_91,3,0.07156470657852777
Acute dystonic reactions,Bronchiolitis,E_133,4,0.05746137977213887
Acute dystonic reactions,Bronchiolitis,E_57,5,0.04862854017032489
Acute dystonic reactions,Bronchiolitis,E_54,6,0.03756241000869055
Acute dystonic reactions,Bronchiolitis,E_201,7,0.032560275579541414
Acute dystonic reactions,Bronchiolitis,E_214,8,0.02493914967866195
Acute dystonic reactions,Bronchiolitis,E_48,9,0.02002054110846056
Acute dystonic reactions,Bronchiolitis,E_66,10,0.016777327660642362
Acute dystonic reactions,Bronchiolitis,E_62,11,0.015912464146065466
Acute dystonic reactions,Bronchiolitis,E_209,12,0.010108020728150133
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_181,1,0.05560436069810033
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_66,2,0.05050518718881502
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_214,3,0.034039948543312284
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_116,4,0.023663684104322555
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_222,5,0.01845688601031547
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_169,6,0.014350858655794458
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_170,7,0.010004646675321829
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_46,8,0.009614012298465908
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_86,9,0.008730324996434459
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_119,10,0.008443941547085389
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_101,11,0.007768784205037169
Allergic sinusitis,Bronchospasm / acute asthma exacerbation,E_124,12,0.005745038879844615
Bronchitis,Pneumonia,E_129,1,0.0990196351525541
Bronchitis,Pneumonia,E_133,2,0.08236581791102678
Bronchitis,Pneumonia,E_130,3,0.08164368883899709
Bronchitis,Pneumonia,E_136,4,0.07464184691560834
Bronchitis,Pneumonia,E_135,5,0.06561933574449096
Bronchitis,Pneumonia,E_131,6,0.06391167746657084
Bronchitis,Pneumonia,E_134,7,0.06321193568148621
Bronchitis,Pneumonia,E_132,8,0.06215583479811885
Bronchitis,Pneumonia,E_124,9,0.02960744700634818
Bronchitis,Pneumonia,E_118,10,0.02589287711792308
Bronchitis,Pneumonia,E_144,11,0.025083708871849027
Bronchitis,Pneumonia,E_78,12,0.02385062206376844
Anaphylaxis,Larygospasm,E_54,1,0.25391638200853833
Anaphylaxis,Larygospasm,E_55,2,0.17849261623887497
Anaphylaxis,Larygospasm,E_57,3,0.1449027712510411
Anaphylaxis,Larygospasm,E_53,4,0.12521344131935713
Anaphylaxis,Larygospasm,E_129,5,0.10193508138196027
Anaphylaxis,Larygospasm,E_59,6,0.0980779932571901
Anaphylaxis,Larygospasm,E_56,7,0.09223044026647623
Anaphylaxis,Larygospasm,E_58,8,0.09039784759059488
Anaphylaxis,Larygospasm,E_130,9,0.08163939700620453
Anaphylaxis,Larygospasm,E_136,10,0.07462642107220695
Anaphylaxis,Larygospasm,E_151,11,0.07307635295037977
Anaphylaxis,Larygospasm,E_133,12,0.06875140971366976
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_55,1,0.17284730605216048
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_181,2,0.07552675083511087
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_91,3,0.07155831069808384
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_124,4,0.06438341659295349
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_133,5,0.054327009222943694
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_57,6,0.047754678178993856
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_54,7,0.03712469541773976
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_226,8,0.02702755042596686
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_116,9,0.02299703984365672
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_48,10,0.02001622850531391
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_222,11,0.0177672117920369
Bronchiolitis,Bronchospasm / acute asthma exacerbation,E_209,12,0.010105425160834156
Acute laryngitis,Epiglottitis,E_66,1,0.03516211377175947
Acute laryngitis,Epiglottitis,E_201,2,0.0338397890332934
Acute laryngitis,Epiglottitis,E_79,3,0.03194288778872093
Acute laryngitis,Epiglottitis,E_78,4,0.02260244373391584
Acute laryngitis,Epiglottitis,E_48,5,0.02192917896544012
Acute laryngitis,Epiglottitis,E_49,6,0.021668152910466035
Acute laryngitis,Epiglottitis,E_69,7,0.021418964496913512
Acute laryngitis,Epiglottitis,E_194,8,0.02083222782467027
Acute laryngitis,Epiglottitis,E_104,9,0.020142472799597366
Acute laryngitis,Epiglottitis,E_116,10,0.01845583851301248
Acute laryngitis,Epiglottitis,E_62,11,0.013007954598476697
Acute laryngitis,Epiglottitis,E_65,12,0.013005031136062543
Acute COPD exacerbation / infection,Atrial fibrillation,E_201,1,0.052419457452350195
Acute COPD exacerbation / infection,Atrial fibrillation,E_79,2,0.051274312700544694
Acute COPD exacerbation / infection,Atrial fibrillation,E_214,3,0.037272169264645466
Acute COPD exacerbation / infection,Atrial fibrillation,E_123,4,0.03195207455572691
Acute COPD exacerbation / infection,Atrial fibrillation,E_77,5,0.029594878954723527
Acute COPD exacerbation / infection,Atrial fibrillation,E_155,6,0.027612999394592545
Acute COPD exacerbation / infection,Atrial fibrillation,E_104,7,0.027351295464347725
Acute COPD exacerbation / infection,Atrial fibrillation,E_105,8,0.027308306054059713
Acute COPD exacerbation / infection,Atrial fibrillation,E_125,9,0.024858860475488496
Acute COPD exacerbation / infection,Atrial fibrillation,E_70,10,0.023825714036480348
Acute COPD exacerbation / infection,Atrial fibrillation,E_69,11,0.020122805881187197
Acute COPD exacerbation / infection,Atrial fibrillation,E_76,12,0.019260663729301533
HIV (initial infection),Scombroid food poisoning,E_54,1,0.2568921177580501
HIV (initial infection),Scombroid food poisoning,E_55,2,0.2168210225515082
HIV (initial infection),Scombroid food poisoning,E_57,3,0.148898952703596
HIV (initial infection),Scombroid food poisoning,E_53,4,0.1238662577301104
HIV (initial infection),Scombroid food poisoning,E_59,5,0.09810171203162923
HIV (initial infection),Scombroid food poisoning,E_56,6,0.09225274489299286
HIV (initial infection),Scombroid food poisoning,E_58,7,0.090419709030512
HIV (initial infection),Scombroid food poisoning,E_91,8,0.04988279115810782
HIV (initial infection),Scombroid food poisoning,E_66,9,0.026465600404618667
HIV (initial infection),Scombroid food poisoning,E_50,10,0.025002915587135927
HIV (initial infection),Scombroid food poisoning,E_144,11,0.022090230513840344
HIV (initial infection),Scombroid food poisoning,E_92,12,0.020392214314218417
Acute pulmonary edema,Localized edema,E_66,1,0.04460874665380434
Acute pulmonary edema,Localized edema,E_105,2,0.03368204662437842
Acute pulmonary edema,Localized edema,E_104,3,0.027942175267523222
Acute pulmonary edema,Localized edema,E_218,4,0.025896491667498082
Acute pulmonary edema,Localized edema,E_50,5,0.02314423451329314
Acute pulmonary edema,Localized edema,E_217,6,0.022036999472478096
Acute pulmonary edema,Localized edema,E_175,7,0.016292571510426197
Acute pulmonary edema,Localized edema,E_22,8,0.012016302667711722
Acute pulmonary edema,Localized edema,E_137,9,0.011421310272540465
Acute pulmonary edema,Localized edema,E_5,10,0.011221889427444221
Acute pulmonary edema,Localized edema,E_109,11,0.009823773312097795
Acute pulmonary edema,Localized edema,E_44,12,0.009658295020628555
GERD,Pericarditis,E_201,1,0.04386750993007075
GERD,Pericarditis,E_79,2,0.03752824596958427
GERD,Pericarditis,E_124,3,0.03328453262306615
GERD,Pericarditis,E_66,4,0.03140405315109755
GERD,Pericarditis,E_78,5,0.023126623234989114
GERD,Pericarditis,E_70,6,0.022607889385878998
GERD,Pericarditis,E_220,7,0.021947056304856598
GERD,Pericarditis,E_155,8,0.018855984828070754
GERD,Pericarditis,E_0,9,0.018134888210628898
GERD,Pericarditis,E_3,10,0.01647978256045864
GERD,Pericarditis,E_173,11,0.010707969828565115
GERD,Pericarditis,E_215,12,0.01055416920584538
Acute pulmonary edema,Pericarditis,E_151,1,0.07487122193174638
Acute pulmonary edema,Pericarditis,E_152,2,0.055968179258462585
Acute pulmonary edema,Pericarditis,E_106,3,0.034093897683804136
Acute pulmonary edema,Pericarditis,E_105,4,0.03367907069449591
Acute pulmonary edema,Pericarditis,E_104,5,0.02793935802959027
Acute pulmonary edema,Pericarditis,E_218,6,0.02589392886468531
Acute pulmonary edema,Pericarditis,E_50,7,0.02314103106286758
Acute pulmonary edema,Pericarditis,E_220,8,0.021942769032760538
Acute pulmonary edema,Pericarditis,E_155,9,0.01885116839968347
Acute pulmonary edema,Pericarditis,E_0,10,0.018131699504207194
Acute pulmonary edema,Pericarditis,E_3,11,0.016477329439688434
Acute pulmonary edema,Pericarditis,E_175,12,0.016290836491949352
Anaphylaxis,Epiglottitis,E_129,1,0.1019580514124328
Anaphylaxis,Epiglottitis,E_130,2,0.08164588477630974
Anaphylaxis,Epiglottitis,E_133,3,0.07656434412434929
Anaphylaxis,Epiglottitis,E_136,4,0.07463946553512792
Anaphylaxis,Epiglottitis,E_151,5,0.0730932782505657
Anaphylaxis,Epiglottitis,E_135,6,0.06562303045053922
Anaphylaxis,Epiglottitis,E_131,7,0.06391527602267645
Anaphylaxis,Epiglottitis,E_134,8,0.06321115777686116
Anaphylaxis,Epiglottitis,E_132,9,0.06215567900562503
Anaphylaxis,Epiglottitis,E_152,10,0.05577599843678276
Anaphylaxis,Epiglottitis,E_91,11,0.035618851185480804
Anaphylaxis,Epiglottitis,E_226,12,0.024150010137408563
Anemia,Influenza,E_133,1,0.08841564237806916
Anemia,Influenza,E_130,2,0.08165071019415611
Anemia,Influenza,E_136,3,0.07465220055386222
Anemia,Influenza,E_129,4,0.0715698407285076
Anemia,Influenza,E_135,5,0.06562324940208714
Anemia,Influenza,E_131,6,0.06391548927629374
Anemia,Influenza,E_134,7,0.06321959326310922
Anemia,Influenza,E_132,8,0.062162818399705534
Anemia,Influenza,E_201,9,0.05777609667208511
Anemia,Influenza,E_91,10,0.04570558853006114
Anemia,Influenza,E_79,11,0.04461770010652282
Anemia,Influenza,E_181,12,0.034118180795056206
Anemia,GERD,E_201,1,0.043882883236053584
Anemia,GERD,E_79,2,0.03754201831133048
Anemia,GERD,E_124,3,0.03329671470030681
Anemia,GERD,E_66,4,0.029630062551020034
Anemia,GERD,E_208,5,0.026233347297714673
Anemia,GERD,E_82,6,0.02399996396203939
Anemia,GERD,E_78,7,0.023136237788261065
Anemia,GERD,E_70,8,0.02261734498327606
Anemia,GERD,E_146,9,0.02112543559912485
Anemia,GERD,E_88,10,0.019730616335266897
Anemia,GERD,E_24,11,0.01949822244520893
Anemia,GERD,E_89,12,0.01898283137587694
URTI,Viral pharyngitis,E_97,1,0.03141896880965144
URTI,Viral pharyngitis,E_50,2,0.02655915287466321
URTI,Viral pharyngitis,E_144,3,0.019950368870312853
URTI,Viral pharyngitis,E_45,4,0.01898447944680567
URTI,Viral pharyngitis,E_222,5,0.018778120443245387
URTI,Viral pharyngitis,E_227,6,0.016026110305013178
URTI,Viral pharyngitis,E_77,7,0.013887910794472855
URTI,Viral pharyngitis,E_91,8,0.002410529148184284
URTI,Viral pharyngitis,E_181,9,0.0010946451849968952
URTI,Viral pharyngitis,E_41,10,0.0010781781129491903
URTI,Viral pharyngitis,E_201,11,0.00047518884061523153
URTI,Viral pharyngitis,E_49,12,0.0004601294250220425
Boerhaave,Viral pharyngitis,E_181,1,0.036730629425239934
Boerhaave,Viral pharyngitis,E_201,2,0.03587261693278436
Boerhaave,Viral pharyngitis,E_41,3,0.03456544695884448
Boerhaave,Viral pharyngitis,E_79,4,0.032359685717083246
Boerhaave,Viral pharyngitis,E_66,5,0.032246323854297425
Boerhaave,Viral pharyngitis,E_148,6,0.029806884827063222
Boerhaave,Viral pharyngitis,E_78,7,0.02934356988267757
Boerhaave,Viral pharyngitis,E_49,8,0.02790712277406204
Boerhaave,Viral pharyngitis,E_48,9,0.024087667694904773
Boerhaave,Viral pharyngitis,E_91,10,0.022911062299343508
Boerhaave,Viral pharyngitis,E_45,11,0.018966378031731294
Boerhaave,Viral pharyngitis,E_227,12,0.016012068474450882
Pulmonary neoplasm,Spontaneous pneumothorax,E_201,1,0.04572803410771069
Pulmonary neoplasm,Spontaneous pneumothorax,E_45,2,0.037190215012116466
Pulmonary neoplasm,Spontaneous pneumothorax,E_220,3,0.03437812284651111
Pulmonary neoplasm,Spontaneous pneumothorax,E_222,4,0.026055419061978405
Pulmonary neoplasm,Spontaneous pneumothorax,E_162,5,0.022716855511692818
Pulmonary neoplasm,Spontaneous pneumothorax,E_123,6,0.019244921469705946
Pulmonary neoplasm,Spontaneous pneumothorax,E_89,7,0.019010376188521503
Pulmonary neoplasm,Spontaneous pneumothorax,E_218,8,0.017015151838173048
Pulmonary neoplasm,Spontaneous pneumothorax,E_161,9,0.015247142526500843
Pulmonary neoplasm,Spontaneous pneumothorax,E_191,10,0.013545810700773578
Pulmonary neoplasm,Spontaneous pneumothorax,E_53,11,0.00988835201469661
Pulmonary neoplasm,Spontaneous pneumothorax,E_21,12,0.007288292308472436
Cluster headache,Viral pharyngitis,E_201,1,0.03588325808736158
Cluster headache,Viral pharyngitis,E_41,2,0.03457244693028259
Cluster headache,Viral pharyngitis,E_79,3,0.03236927256385009
Cluster headache,Viral pharyngitis,E_49,4,0.027913729850298993
Cluster headache,Viral pharyngitis,E_78,5,0.02647975212815454
Cluster headache,Viral pharyngitis,E_48,6,0.024094277766466186
Cluster headache,Viral pharyngitis,E_91,7,0.02291960223509655
Cluster headache,Viral pharyngitis,E_45,8,0.018972596856464602
Cluster headache,Viral pharyngitis,E_227,9,0.016016894972269265
Cluster headache,Viral pharyngitis,E_25,10,0.012178045813205267
Cluster headache,Viral pharyngitis,E_184,11,0.009086641954659946
Cluster headache,Viral pharyngitis,E_127,12,0.005182417445844155
Acute COPD exacerbation / infection,Larygospasm,E_201,1,0.05239355820326862
Acute COPD exacerbation / infection,Larygospasm,E_66,2,0.04056853932204054
Acute COPD exacerbation / infection,Larygospasm,E_214,3,0.0372578680233145
Acute COPD exacerbation / infection,Larygospasm,E_194,4,0.03572840943759821
Acute COPD exacerbation / infection,Larygospasm,E_123,5,0.03193773657584068
Acute COPD exacerbation / infection,Larygospasm,E_77,6,0.029578840872508345
Acute COPD exacerbation / infection,Larygospasm,E_124,7,0.023618865685543514
Acute COPD exacerbation / infection,Larygospasm,E_222,8,0.01450202715291866
Acute COPD exacerbation / infection,Larygospasm,E_116,9,0.013581245439820309
Acute COPD exacerbation / infection,Larygospasm,E_31,10,0.011346840578440306
Acute COPD exacerbation / infection,Larygospasm,E_198,11,0.007672036765249817
Acute COPD exacerbation / infection,Larygospasm,E_72,12,0.007309197657445901
Bronchiolitis,Chagas,E_53,1,0.12335056259600292
Bronchiolitis,Chagas,E_54,2,0.11871414930950018
Bronchiolitis,Chagas,E_59,3,0.09599029786687799
Bronchiolitis,Chagas,E_56,4,0.09026721631993953
Bronchiolitis,Chagas,E_58,5,0.0884736323467722
Bronchiolitis,Chagas,E_181,6,0.07549642949872706
Bronchiolitis,Chagas,E_133,7,0.04241653858543767
Bronchiolitis,Chagas,E_57,8,0.039899836505362066
Bronchiolitis,Chagas,E_201,9,0.032521112163739097
Bronchiolitis,Chagas,E_152,10,0.027868130271748056
Bronchiolitis,Chagas,E_214,11,0.024917238058701757
Bronchiolitis,Chagas,E_48,12,0.019996460453058775
Influenza,Pneumonia,E_77,1,0.03874091596943875
Influenza,Pneumonia,E_66,2,0.03545872603633221
Influenza,Pneumonia,E_124,3,0.029607731104621858
Influenza,Pneumonia,E_50,4,0.028715480244129125
Influenza,Pneumonia,E_88,5,0.026845277909654373
Influenza,Pneumonia,E_123,6,0.026394597441566837
Influenza,Pneumonia,E_118,7,0.025893049645360332
Influenza,Pneumonia,E_78,8,0.023850849892979212
Influenza,Pneumonia,E_106,9,0.023177966111518122
Influenza,Pneumonia,E_208,10,0.01865252641658283
Influenza,Pneumonia,E_97,11,0.01849310645476195
Influenza,Pneumonia,E_45,12,0.017601873629294208
Pericarditis,Spontaneous rib fracture,E_201,1,0.03821663765776458
Pericarditis,Spontaneous rib fracture,E_78,2,0.026976072269218963
Pericarditis,Spontaneous rib fracture,E_217,3,0.01980810668762889
Pericarditis,Spontaneous rib fracture,E_155,4,0.018813313064748222
Pericarditis,Spontaneous rib fracture,E_0,5,0.018106516286041024
Pericarditis,Spontaneous rib fracture,E_3,6,0.016457918807156
Pericarditis,Spontaneous rib fracture,E_203,7,0.013677735271936187
Pericarditis,Spontaneous rib fracture,E_216,8,0.008245467654381434
Pericarditis,Spontaneous rib fracture,E_220,9,0.006680603888982077
Pericarditis,Spontaneous rib fracture,E_133,10,0.003591956374303734
Pericarditis,Spontaneous rib fracture,E_153,11,0.0031160116980761534
Pericarditis,Spontaneous rib fracture,E_37,12,0.002428321236432969
Influenza,URTI,E_133,1,0.08995169602923715
Influenza,URTI,E_130,2,0.08165154122170835
Influenza,URTI,E_136,3,0.0746538720230167
Influenza,URTI,E_129,4,0.0715731423852519
Influenza,URTI,E_135,5,0.06562351657004545
Influenza,URTI,E_131,6,0.06391574949155175
Influenza,URTI,E_134,7,0.0632207514129063
Influenza,URTI,E_132,8,0.06216383066638862
Influenza,URTI,E_48,9,0.028288271491527562
Influenza,URTI,E_88,10,0.026853104857571433
Influenza,URTI,E_41,11,0.025431724191508732
Influenza,URTI,E_49,12,0.022350346859607465
Guillain-Barré syndrome,Panic attack,E_54,1,0.2576866268012889
Guillain-Barré syndrome,Panic attack,E_55,2,0.23056524943826864
Guillain-Barré syndrome,Panic attack,E_57,3,0.1500220650001798
Guillain-Barré syndrome,Panic attack,E_53,4,0.125632494682638
Guillain-Barré syndrome,Panic attack,E_59,5,0.09809209997842894
Guillain-Barré syndrome,Panic attack,E_56,6,0.09224370592442217
Guillain-Barré syndrome,Panic attack,E_58,7,0.09041084966368183
Guillain-Barré syndrome,Panic attack,E_124,8,0.030731471663626064
Guillain-Barré syndrome,Panic attack,E_155,9,0.027164627130033037
Guillain-Barré syndrome,Panic attack,E_82,10,0.02583323227342036
Guillain-Barré syndrome,Panic attack,E_50,11,0.024275191406000932
Guillain-Barré syndrome,Panic attack,E_78,12,0.021350606187054456
Inguinal hernia,Pancreatic neoplasm,E_79,1,0.03773549556579565
Inguinal hernia,Pancreatic neoplasm,E_201,2,0.028202032381971283
Inguinal hernia,Pancreatic neoplasm,E_69,3,0.02097036816557066
Inguinal hernia,Pancreatic neoplasm,E_89,4,0.019227305707562068
Inguinal hernia,Pancreatic neoplasm,E_148,5,0.016159233684861808
Inguinal hernia,Pancreatic neoplasm,E_162,6,0.01547694462424054
Inguinal hernia,Pancreatic neoplasm,E_51,7,0.01365037075513345
Inguinal hernia,Pancreatic neoplasm,E_203,8,0.009029270522270748
Inguinal hernia,Pancreatic neoplasm,E_223,9,0.008379386964430023
Inguinal hernia,Pancreatic neoplasm,E_188,10,0.007659500174052632
